Date Time,min,max,mean,id
2022-02-01,2.346,5.591,3.62465,8447930
2022-02-06,2.359,4.111,3.316,8447930
2022-02-11,3.186,4.298,3.6641126,8447930
2022-02-16,2.221,4.403,3.0877166,8447930
2022-02-21,2.205,4.715,3.1352668,8447930
2022-02-01,2.589,10.341,6.4561377,8665530
2022-02-06,3.94,8.822,6.4167624,8665530
2022-02-11,3.799,7.904,5.734958,8665530
2022-02-16,3.045,9.085,6.0862627,8665530
2022-02-21,2.913,8.806,6.1005335,8665530
2022-02-01,3.058,15.879,10.951725,9449424
2022-02-06,7.507,14.895,10.79748,9449424
2022-02-11,5.84,13.73,10.84915,9449424
2022-02-16,4.964,14.941,10.924846,9449424
2022-02-21,7.431,14.856,11.09325,9449424
2022-02-01,0.849,7.347,4.181908,8551910
2022-02-06,0.567,6.847,3.8158042,8551910
2022-02-11,1.653,6.838,4.2652416,8551910
2022-02-16,1.113,6.943,4.005183,8551910
2022-02-21,0.976,6.679,3.918871,8551910
2022-02-01,3.038,5.133,3.956971,8573364
2022-02-06,2.828,4.699,3.7432635,8573364
2022-02-11,3.411,4.946,4.1098957,8573364
2022-02-16,3.663,5.296,4.3331833,8573364
2022-02-21,3.323,5.18,4.353125,8573364
2022-02-01,2.768,6.275,4.5055084,8573927
2022-02-06,2.28,6.217,4.2691374,8573927
2022-02-11,3.203,6.45,4.6561875,8573927
2022-02-16,3.158,6.391,4.735096,8573927
2022-02-21,3.391,6.45,4.873871,8573927
2022-02-01,3.74,5.663,4.6068377,8574680
2022-02-06,3.586,5.233,4.3916707,8574680
2022-02-11,4.124,5.574,4.8173623,8574680
2022-02-16,4.485,5.945,5.002496,8574680
2022-02-21,4.065,5.689,5.0030165,8574680
2022-02-01,4.229,5.869,5.0572124,8575512
2022-02-06,4.216,5.492,4.831875,8575512
2022-02-11,4.518,5.732,5.2053976,8575512
2022-02-16,4.79,6.138,5.350146,8575512
2022-02-21,4.616,5.768,5.271517,8575512
2022-02-01,3.543,5.154,4.4370294,8577330
2022-02-06,3.323,5.043,4.1316457,8577330
2022-02-11,3.845,4.875,4.411346,8577330
2022-02-16,3.612,5.207,4.4683266,8577330
2022-02-21,3.619,5.043,4.2758417,8577330
2022-02-01,4.288,8.098,5.976296,8594900
2022-02-06,3.565,7.652,6.056404,8594900
2022-02-11,4.852,7.361,6.0485873,8594900
2022-02-16,4.725,7.549,6.123154,8594900
2022-02-21,4.523,7.633,6.077204,8594900
2022-02-01,16.132,18.241,17.234291,8635027
2022-02-06,15.909,18.071,16.961464,8635027
2022-02-11,16.549,17.779,17.176292,8635027
2022-02-16,16.322,18.307,17.2836,8635027
2022-02-21,15.935,17.953,17.010563,8635027
2022-02-01,4.866,6.457,5.68195,8635750
2022-02-06,4.508,6.221,5.3438706,8635750
2022-02-11,5.039,5.995,5.529042,8635750
2022-02-16,4.676,6.402,5.571008,8635750
2022-02-21,4.377,6.117,5.3330417,8635750
2022-02-01,2.251,3.842,3.0752666,8636580
2022-02-06,1.791,3.386,2.7149124,8636580
2022-02-11,2.425,3.32,2.83425,8636580
2022-02-16,2.192,3.609,2.815271,8636580
2022-02-21,1.437,3.14,2.5167875,8636580
2022-02-01,3.406,7.103,5.148033,8632200
2022-02-06,3.586,6.138,4.9264627,8632200
2022-02-11,3.717,5.879,4.807083,8632200
2022-02-16,3.287,6.24,4.661783,8632200
2022-02-21,3.061,5.646,4.379046,8632200
2022-02-01,5.207,8.337,6.673383,8637689
2022-02-06,5.171,7.415,6.3507457,8637689
2022-02-11,5.348,7.192,6.23495,8637689
2022-02-16,5.016,7.562,6.2000294,8637689
2022-02-21,4.623,7.096,5.8625126,8637689
2022-02-01,4.321,7.802,6.010579,8638610
2022-02-06,4.564,6.9,5.7705,8638610
2022-02-11,4.544,6.47,5.4965043,8638610
2022-02-16,4.078,6.88,5.4132123,8638610
2022-02-21,3.839,6.358,5.076492,8638610
2022-02-01,3.983,8.1,5.9850416,8638901
2022-02-06,4.485,7.018,5.804742,8638901
2022-02-11,4.56,6.68,5.6280627,8638901
2022-02-16,4.085,7.077,5.448729,8638901
2022-02-21,3.793,6.457,5.1619,8638901
2022-02-01,21.726,25.518,23.520617,8639348
2022-02-06,21.896,24.623,23.282326,8639348
2022-02-11,21.752,29.833,22.931334,8639348
2022-02-16,21.339,24.472,22.842167,8639348
2022-02-21,21.083,24.039,22.504812,8639348
2022-02-01,27.379,28.304,27.854012,8775222
2022-02-06,27.221,28.097,27.68273,8775222
2022-02-11,26.89,27.858,27.431355,8775222
2022-02-16,27.431,28.156,27.78978,8775222
2022-02-21,27.612,28.35,28.075174,8775222
2022-02-01,4.423,6.385,5.726954,8775237
2022-02-06,5.02,6.165,5.708192,8775237
2022-02-11,4.249,5.978,5.3057585,8775237
2022-02-16,5.092,6.339,5.729375,8775237
2022-02-21,5.571,6.312,5.954758,8775237
2022-02-01,23.944,26.204,25.421474,8775241
2022-02-06,25.125,26.037,25.5579,8775241
2022-02-11,24.242,25.853,25.132238,8775241
2022-02-16,24.603,26.201,25.503218,8775241
2022-02-21,25.223,26.05,25.697588,8775241
2022-02-01,4.843,5.787,5.3399043,8775296
2022-02-06,4.626,5.571,5.1437,8775296
2022-02-11,4.482,5.266,4.9022083,8775296
