id,lat,lon,label,port label,port code,state
8447930,41.523613,-70.67111,Woods Hole,Cape Cod,ca,MA
8665530,32.780834,-79.923615,Charleston,Charleston Harbor,ch,SC
8551910,39.5583,-75.5733,Reedy Point,Chesapeake Bay North,cn,DE
8573364,39.213444,-76.24453,Tolchester Beach,Chesapeake Bay North,cn,MD
8573927,39.5267,-75.81,Chesapeake City,Chesapeake Bay North,cn,MD
8574680,39.26667,-76.57833,Baltimore,Chesapeake Bay North,cn,MD
8575512,38.98328,-76.48155,Annapolis,Chesapeake Bay North,cn,MD
8577330,38.317223,-76.450836,Solomons Island,Chesapeake Bay North,cn,MD
8594900,38.8733,-77.0217,Washington D.C.,Chesapeake Bay North,cn,DC
8635027,38.31975,-77.03661,Dahlgren,Chesapeake Bay North,cn,VA
8635750,37.995388,-76.464615,Lewisetta,Chesapeake Bay North,cn,VA
8632200,37.16519,-75.98844,Kiptopeke Beach,Chesapeake Bay South,cs,VA
8637689,37.2265,-76.478806,Yorktown USCG Training Center,Chesapeake Bay South,cs,VA
8639348,36.778305,-76.3017,Money Point,Chesapeake Bay South,cs,VA
8775222,27.8461,-97.5207,Viola Turning Basin,Corpus Christi,cc,TX
8775237,27.8397,-97.0725,Port Aransas,Corpus Christi,cc,TX
8775241,27.8366,-97.0391,"Aransas, Aransas Pass",Corpus Christi,cc,TX
8775296,27.8149,-97.3892,USS Lexington,Corpus Christi,cc,TX
9063063,41.54086,-81.635475,Cleveland,Cuyahoga,cy,OH
8536110,38.9683,-74.96,Cape May,Delaware River and Bay,db,NJ
8537121,39.305,-75.375,Ship John Shoal,Delaware River and Bay,db,NJ
8539094,40.0817,-74.8697,Burlington,Delaware River and Bay,db,NJ
8540433,39.81167,-75.40945,Marcus Hook,Delaware River and Bay,db,PA
8545240,39.9333,-75.1417,Philadelphia,Delaware River and Bay,db,PA
8546252,39.9833,-75.075,Bridesburg,Delaware River and Bay,db,PA
8548989,40.1367,-74.7517,Newbold,Delaware River and Bay,db,PA
8551762,39.5817,-75.5883,Delaware City,Delaware River and Bay,db,DE
8551910,39.5583,-75.5733,Reedy Point,Delaware River and Bay,db,DE
8557380,38.7817,-75.12,Lewes,Delaware River and Bay,db,DE
8770613,29.6817,-94.985,Morgans Point,Houston Galveston Bay,hg,TX
8770777,29.726223,-95.26578,Manchester,Houston Galveston Bay,hg,TX
8771013,29.48,-94.918304,Eagle Point,Houston Galveston Bay,hg,TX
8771341,29.3573,-94.7248,Galveston Bay Entrance,Houston Galveston Bay,hg,TX
8771450,29.31,-94.793304,Pier 21,Houston Galveston Bay,hg,TX
9418767,40.7663,-124.2172,North Spit,Humboldt Bay,hb,CA
